2026-05-26 17:26:14 | INFO | JT | project=JT PIPELINES
2026-05-26 17:26:14 | INFO | JT | repo_dir=datafun-03-analytics
2026-05-26 17:26:14 | INFO | JT | python=3.14.5
2026-05-26 17:26:14 | INFO | JT | os=Windows 11
2026-05-26 17:26:14 | INFO | JT | shell=powershell
2026-05-26 17:26:14 | INFO | JT | cwd=.
2026-05-26 17:26:14 | INFO | JT | github_actions=False
2026-05-26 17:26:14 | INFO | JT | ========== START main() ==========
2026-05-26 17:26:14 | INFO | JT | ROOT_DIR = .
2026-05-26 17:26:14 | INFO | JT | PROCESSED_DIR = data\processed
2026-05-26 17:26:14 | INFO | JT | CSV PIPELINE: START
2026-05-26 17:26:14 | INFO | JT | CSV PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\justice_score_stats.txt
2026-05-26 17:26:14 | INFO | JT | CSV PIPELINE: END
2026-05-26 17:26:14 | INFO | JT | JT XLSX PIPELINE: START
2026-05-26 17:26:14 | INFO | JT | JT XLSX PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\jt_xlsx_word_count.txt
2026-05-26 17:26:14 | INFO | JT | JT XLSX PIPELINE: END
2026-05-26 17:26:14 | INFO | JT | JSON PIPELINE: START
2026-05-26 17:26:15 | INFO | JT | JSON PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\json_people_by_country.txt
2026-05-26 17:26:15 | INFO | JT | JSON PIPELINE: END
2026-05-26 17:26:15 | INFO | JT | JT TXT PIPELINE: START
2026-05-26 17:26:15 | INFO | JT | JT TXT PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\jt_text_summary.txt
2026-05-26 17:26:15 | INFO | JT | JT TXT PIPELINE: END
2026-05-26 17:26:15 | INFO | JT | ========== Executed successfully! ==========
2026-05-26 17:26:30 | INFO | JT | === RUN START ===
2026-05-26 17:26:30 | INFO | JT | project=JT PIPELINES
2026-05-26 17:26:30 | INFO | JT | repo_dir=datafun-03-analytics
2026-05-26 17:26:30 | INFO | JT | python=3.14.5
2026-05-26 17:26:30 | INFO | JT | os=Windows 11
2026-05-26 17:26:30 | INFO | JT | shell=powershell
2026-05-26 17:26:30 | INFO | JT | cwd=.
2026-05-26 17:26:30 | INFO | JT | github_actions=False
2026-05-26 17:26:30 | INFO | JT | ========== START main() ==========
2026-05-26 17:26:30 | INFO | JT | ROOT_DIR = .
2026-05-26 17:26:30 | INFO | JT | PROCESSED_DIR = data\processed
2026-05-26 17:26:30 | INFO | JT | CSV PIPELINE: START
2026-05-26 17:26:30 | INFO | JT | CSV PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\justice_score_stats.txt
2026-05-26 17:26:30 | INFO | JT | CSV PIPELINE: END
2026-05-26 17:26:30 | INFO | JT | JT XLSX PIPELINE: START
2026-05-26 17:26:30 | INFO | JT | JT XLSX PIPELINE: wrote C:\Users\JTEFE\Repos\datafun-03-analytics\data\processed\jt_xlsx_word_count.txt
2026-05-26 17:26:30 | INFO | JT | JT XLSX PIPELINE: END
2026-05-26 17:26:30 | INFO | JT | JSON PIPELINE: START
